CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,CustomerValueScore,EngagementScore,HighRiskCategory,HighRiskPayment,LowSatisfaction,OrderFrequency,CashbackEfficiency,IsLoyalCustomer,HighValueCustomer,ServiceQualityScore,LogisticsConvenience,PreferredLoginDevice_encoded,PreferredPaymentMode_encoded,Gender_encoded,PreferedOrderCat_encoded,MaritalStatus_encoded,Gender_Category_Interaction,Gender_Category_Interaction_encoded,CustomerSegment
50011,1,4.0,Mobile Phone,1,18.0,Cash on Delivery,Female,2.0,3,Others,3,Divorced,2,0,15.0,9.0,15.0,8.0,295,4.8950000000000005,8.100000000000001,0,1,0,3.75,19.666666666666668,0,1,2.5999999999999996,0,1,2,0,5,0,0_5,5,3
50012,1,11.0,Mobile Phone,1,6.0,Debit Card,Male,3.0,4,Fashion,3,Single,10,1,13.0,0.0,1.0,0.0,154,0.754,5.300000000000001,0,0,0,0.09090909090909091,154.0,0,0,1.7999999999999998,1,1,4,1,0,2,1_0,6,4
50013,1,0.0,Phone,1,11.0,COD,Male,2.0,3,Mobile,3,Single,2,1,13.0,2.0,2.0,2.0,134,0.8339999999999999,4.800000000000001,1,1,0,0.0,67.0,0,0,1.7999999999999998,1,2,1,1,3,2,1_3,9,2
50014,1,0.0,Phone,1,15.0,CC,Male,3.0,4,Mobile,3,Divorced,1,1,17.0,0.0,1.0,0.0,134,0.734,5.300000000000001,1,0,0,0.0,134.0,0,0,1.7999999999999998,1,2,0,1,3,0,1_3,9,2
50015,1,9.0,Mobile Phone,3,15.0,Credit Card,Male,3.0,4,Fashion,2,Single,2,0,16.0,0.0,4.0,7.0,196,1.596,5.5,0,0,1,0.4444444444444444,49.0,0,1,2.0,1,1,3,1,0,2,1_0,6,4
50016,1,9.0,Phone,2,12.0,UPI,Male,3.0,3,Mobile,5,Married,5,1,22.0,1.0,1.0,2.0,121,0.9210000000000002,4.9,1,0,0,0.1111111111111111,121.0,0,0,3.0,1,2,6,1,3,1,1_3,9,2
50017,1,0.0,Computer,1,12.0,Debit Card,Female,3.0,4,Mobile,2,Single,2,1,18.0,1.0,1.0,0.0,129,0.6290000000000001,5.300000000000001,1,0,1,0.0,129.0,0,0,1.2,1,0,4,0,3,2,0_3,3,4
50018,1,0.0,Mobile Phone,3,11.0,E wallet,Male,2.0,4,Laptop & Accessory,3,Single,2,1,11.0,1.0,1.0,3.0,157,0.5569999999999999,4.6000000000000005,0,0,0,0.0,157.0,0,0,1.7999999999999998,1,1,5,1,2,2,1_2,8,2
50019,1,0.0,Computer,1,13.0,Debit Card,Male,3.0,5,Laptop & Accessory,3,Single,2,1,24.0,1.0,1.0,6.0,161,0.7609999999999999,4.9,0,0,0,0.0,161.0,0,0,1.7999999999999998,1,0,4,1,2,2,1_2,8,4
50020,1,19.0,Mobile Phone,1,20.0,Debit Card,Female,3.0,3,Mobile Phone,4,Divorced,10,1,18.0,1.0,4.0,3.0,150,1.75,5.700000000000001,1,0,0,0.21052631578947367,37.5,0,1,2.4,0,1,4,0,4,0,0_4,4,1
50021,1,0.0,Mobile Phone,3,12.0,Debit Card,Male,3.0,5,Laptop & Accessory,3,Divorced,5,1,18.0,6.0,7.0,7.0,162,2.5620000000000003,6.600000000000001,0,0,0,0.0,23.142857142857142,0,1,1.7999999999999998,1,1,4,1,2,0,1_2,8,3
50022,1,20.0,Mobile Phone,1,29.0,Credit Card,Female,3.0,3,Fashion,2,Divorced,2,0,12.0,11.0,15.0,6.0,203,4.9030000000000005,8.700000000000001,0,0,1,0.75,13.533333333333333,1,1,2.0,0,1,3,0,0,0,0_0,0,3
50023,1,9.0,Mobile Phone,3,28.0,E wallet,Male,2.0,3,Mobile Phone,3,Single,2,1,19.0,0.0,1.0,0.0,117,0.5169999999999999,4.7,1,0,0,0.1111111111111111,117.0,0,0,1.7999999999999998,0,1,5,1,4,2,1_4,10,2
50024,1,0.0,Phone,3,26.0,Debit Card,Female,3.0,5,Laptop & Accessory,3,Divorced,4,1,11.0,1.0,2.0,2.0,146,1.046,5.6000000000000005,0,0,0,0.0,73.0,0,0,1.7999999999999998,0,2,4,0,2,0,0_2,2,4
50025,1,14.0,Computer,1,14.0,Debit Card,Male,2.0,5,Fashion,2,Single,3,0,15.0,0.0,1.0,3.0,207,0.507,4.800000000000001,0,0,1,0.07142857142857142,207.0,0,0,2.0,1,0,4,1,0,2,1_0,6,0
50026,1,0.0,Phone,1,15.0,Credit Card,Female,2.0,3,Mobile Phone,5,Single,8,0,22.0,1.0,1.0,4.0,142,0.7420000000000001,4.300000000000001,1,0,0,0.0,142.0,0,0,3.8,1,2,3,0,4,2,0_4,4,2
50027,0,8.0,Mobile Phone,3,6.0,E wallet,Male,3.0,3,Fashion,4,Divorced,2,0,13.0,1.0,1.0,6.0,173,0.873,4.500000000000001,0,0,0,0.125,173.0,0,0,3.2,1,1,5,1,0,0,1_0,6,2
50028,0,9.0,Phone,3,12.0,E wallet,Male,2.0,3,Laptop & Accessory,3,Divorced,3,1,20.0,0.0,4.0,5.0,123,1.4229999999999998,5.1,0,0,0,0.4444444444444444,30.75,0,0,1.7999999999999998,1,2,5,1,2,0,1_2,8,4
50029,0,18.0,Phone,1,14.0,Debit Card,Male,2.0,3,Laptop & Accessory,4,Married,9,0,18.0,1.0,1.0,15.0,123,0.623,3.2,0,0,0,0.05555555555555555,123.0,0,0,3.2,1,2,4,1,2,1,1_2,8,2
50030,0,5.0,Computer,3,14.0,E wallet,Female,2.0,3,Fashion,2,Single,2,0,14.0,2.0,3.0,7.0,190,1.0899999999999999,4.6,0,0,1,0.6,63.333333333333336,0,0,2.0,1,0,5,0,0,2,0_0,0,4
50031,0,2.0,Computer,1,6.0,COD,Male,2.0,3,Laptop & Accessory,3,Divorced,2,0,13.0,0.0,1.0,9.0,143,0.5429999999999999,3.8000000000000003,0,1,0,0.5,143.0,0,0,2.5999999999999996,1,0,1,1,2,0,1_2,8,2
50032,0,0.0,Mobile Phone,1,13.0,Credit Card,Male,2.0,4,Laptop & Accessory,3,Divorced,3,0,17.0,1.0,1.0,0.0,161,0.5609999999999999,4.9,0,0,0,0.0,161.0,0,0,2.5999999999999996,1,1,3,1,2,0,1_2,8,2
50033,0,30.0,Phone,1,15.0,CC,Female,3.0,4,Mobile,4,Divorced,5,1,20.0,1.0,1.0,0.0,133,0.8330000000000002,5.300000000000001,1,0,0,0.03333333333333333,133.0,0,0,2.4,1,2,0,0,3,0,0_3,3,0
50034,0,13.0,Mobile Phone,3,10.0,E wallet,Male,3.0,4,Fashion,2,Divorced,8,0,11.0,2.0,2.0,11.0,209,1.009,4.500000000000001,0,0,1,0.15384615384615385,104.5,0,0,2.0,1,1,5,1,0,0,1_0,6,0
50035,0,9.0,Computer,3,8.0,E wallet,Female,3.0,3,Mobile,3,Divorced,7,0,18.0,1.0,1.0,2.0,122,0.722,4.9,1,0,0,0.1111111111111111,122.0,0,0,2.5999999999999996,1,0,5,0,3,0,0_3,3,2
50036,0,0.0,Phone,1,14.0,CC,Male,3.0,3,Mobile,2,Divorced,2,0,24.0,0.0,2.0,2.0,123,0.9229999999999999,5.200000000000001,1,0,1,0.0,61.5,0,0,2.0,1,2,0,1,3,0,1_3,9,4
50037,0,9.0,Computer,1,15.0,CC,Male,2.0,3,Mobile,4,Married,7,0,18.0,0.0,2.0,2.0,120,0.9200000000000002,4.800000000000001,1,0,0,0.2222222222222222,60.0,0,0,3.2,1,0,0,1,3,1,1_3,9,2
50038,0,1.0,Phone,1,27.0,CC,Male,3.0,3,Mobile,2,Divorced,2,0,11.0,0.0,1.0,2.0,127,0.6270000000000001,4.9,1,0,1,1.0,127.0,0,0,2.0,0,2,0,1,3,0,1_3,9,2
50039,0,30.0,Mobile Phone,1,30.0,Debit Card,Male,2.0,2,Fashion,2,Married,4,1,16.0,1.0,1.0,4.0,194,0.494,4.1,0,0,1,0.03333333333333333,194.0,0,0,1.2,0,1,4,1,0,1,1_0,6,0
50040,0,0.0,Computer,1,14.0,CC,Male,3.0,4,Mobile,3,Married,2,1,15.0,0.0,1.0,1.0,126,0.726,5.200000000000001,1,0,0,0.0,126.0,0,0,1.7999999999999998,1,0,0,1,3,1,1_3,9,2
50041,0,23.0,Mobile Phone,1,17.0,Debit Card,Female,2.0,3,Others,4,Single,4,0,15.0,2.0,4.0,4.0,299,1.699,5.2,0,0,0,0.17391304347826086,74.75,0,1,3.2,0,1,4,0,5,2,0_5,5,0
50042,0,14.0,Phone,1,14.0,Debit Card,Male,2.0,3,Mobile,3,Married,5,0,12.0,1.0,1.0,8.0,125,0.5249999999999999,3.9000000000000004,1,0,0,0.07142857142857142,125.0,0,0,2.5999999999999996,1,2,4,1,3,1,1_3,9,2
50043,0,3.0,Mobile Phone,3,11.0,Debit Card,Female,2.0,3,Fashion,2,Divorced,3,0,12.0,2.0,7.0,4.0,194,2.294,6.1000000000000005,0,0,1,2.3333333333333335,27.714285714285715,0,1,2.0,1,1,4,0,0,0,0_0,0,3
50044,0,11.0,Mobile Phone,3,6.0,Debit Card,Female,2.0,4,Laptop & Accessory,2,Single,5,0,22.0,1.0,1.0,1.0,187,0.487,4.800000000000001,0,0,1,0.09090909090909091,187.0,0,0,2.0,1,1,4,0,2,2,0_2,2,2
50045,0,5.0,Phone,1,12.0,Debit Card,Male,3.0,3,Mobile,3,Single,4,0,20.0,0.0,1.0,4.0,130,0.73,4.700000000000001,1,0,0,0.2,130.0,0,0,2.5999999999999996,1,2,4,1,3,2,1_3,9,2
50046,0,0.0,Phone,1,23.0,COD,Male,3.0,3,Mobile,4,Divorced,1,1,16.0,1.0,1.0,1.0,131,0.8310000000000002,5.000000000000001,1,1,0,0.0,131.0,0,0,2.4,0,2,1,1,3,0,1_3,9,2
50047,1,0.0,Computer,3,14.0,COD,Female,3.0,5,Mobile,5,Single,1,0,21.0,1.0,1.0,0.0,123,0.9230000000000002,5.5,1,1,0,0.0,123.0,0,0,3.8,1,0,1,0,3,2,0_3,3,1
50048,0,9.0,Computer,1,9.0,CC,Male,1.0,3,Mobile,4,Single,5,0,12.0,4.0,7.0,2.0,121,2.221,5.9,1,0,0,0.7777777777777778,17.285714285714285,0,1,3.2,1,0,0,1,3,2,1_3,9,3
50049,0,3.0,Computer,1,15.0,CC,Male,3.0,3,Laptop & Accessory,5,Married,2,0,11.0,0.0,6.0,10.0,131,2.4309999999999996,5.6,0,0,0,2.0,21.833333333333332,0,1,3.8,1,0,0,1,2,1,1_2,8,1
50050,0,18.0,Mobile Phone,3,10.0,Debit Card,Female,1.0,3,Laptop & Accessory,5,Married,5,1,11.0,0.0,1.0,3.0,150,0.5499999999999999,4.0,0,0,0,0.05555555555555555,150.0,0,0,3.0,1,1,4,0,2,1,0_2,2,2
50051,0,29.0,Phone,1,14.0,Debit Card,Female,3.0,3,Mobile Phone,5,Married,5,1,18.0,1.0,2.0,2.0,143,1.2429999999999999,5.200000000000001,1,0,0,0.06896551724137931,71.5,0,0,3.0,1,2,4,0,4,1,0_4,4,1
50052,0,6.0,Phone,1,14.0,Debit Card,Male,2.0,3,Mobile,2,Single,1,0,14.0,0.0,1.0,2.0,125,0.42499999999999993,4.5,1,0,1,0.16666666666666666,125.0,0,0,2.0,1,2,4,1,3,2,1_3,9,2
50053,1,0.0,Mobile Phone,1,8.0,Debit Card,Male,2.0,4,Mobile Phone,2,Single,2,0,22.0,0.0,1.0,0.0,111,0.4109999999999999,4.9,1,0,1,0.0,111.0,0,0,2.0,1,1,4,1,4,2,1_4,10,2
50054,0,19.0,Mobile Phone,3,6.0,E wallet,Female,3.0,3,Fashion,5,Married,2,0,25.0,4.0,15.0,7.0,205,5.205,8.600000000000001,0,0,0,0.7894736842105263,13.666666666666666,1,1,3.8,1,1,5,0,0,1,0_0,0,3
50055,0,9.0,Phone,1,15.0,Debit Card,Female,3.0,3,Mobile,2,Single,2,0,12.0,1.0,2.0,1.0,123,0.9229999999999999,5.300000000000001,1,0,1,0.2222222222222222,61.5,0,0,2.0,1,2,4,0,3,2,0_3,3,4
50056,0,4.0,Phone,1,18.0,Credit Card,Female,3.0,3,Mobile Phone,2,Divorced,9,1,23.0,1.0,1.0,2.0,139,0.6390000000000001,4.9,1,0,1,0.25,139.0,0,0,1.2,0,2,3,0,4,0,0_4,4,4
50057,0,9.0,Phone,1,33.0,CC,Female,3.0,3,Mobile,4,Single,3,0,15.0,1.0,1.0,2.0,123,0.8230000000000002,4.9,1,0,0,0.1111111111111111,123.0,0,0,3.2,0,2,0,0,3,2,0_3,3,2
50058,1,4.0,Phone,3,26.0,E wallet,Female,3.0,3,Mobile,4,Single,2,1,22.0,0.0,1.0,2.0,131,0.8310000000000002,4.9,1,0,0,0.25,131.0,0,0,2.4,0,2,5,0,3,2,0_3,3,2
50059,0,23.0,Phone,1,6.0,Credit Card,Male,2.0,4,Mobile Phone,3,Divorced,3,0,15.0,0.0,1.0,2.0,137,0.5369999999999999,4.7,1,0,0,0.043478260869565216,137.0,0,0,2.5999999999999996,1,2,3,1,4,0,1_4,10,2
50060,0,26.0,Phone,1,19.0,Credit Card,Female,2.0,2,Laptop & Accessory,5,Married,2,0,11.0,1.0,1.0,3.0,145,0.745,4.2,0,0,0,0.038461538461538464,145.0,0,0,3.8,0,2,3,0,2,1,0_2,2,2
50061,0,6.0,Phone,1,20.0,CC,Female,3.0,3,Mobile,4,Divorced,2,0,13.0,0.0,1.0,6.0,128,0.8280000000000001,4.500000000000001,1,0,0,0.16666666666666666,128.0,0,0,3.2,0,2,0,0,3,0,0_3,3,2
50062,0,13.0,Mobile Phone,1,10.0,Credit Card,Female,2.0,3,Others,3,Divorced,2,0,14.0,1.0,9.0,9.0,290,3.09,6.199999999999999,0,0,0,0.6923076923076923,32.22222222222222,1,1,2.5999999999999996,1,1,3,0,5,0,0_5,5,3
50063,0,28.0,Mobile Phone,1,20.0,Credit Card,Male,3.0,2,Others,4,Single,9,0,11.0,1.0,2.0,15.0,287,1.2870000000000001,3.7,0,0,0,0.07142857142857142,143.5,0,0,3.2,0,1,3,1,5,2,1_5,11,0
50064,0,7.0,Computer,1,8.0,Debit Card,Male,2.0,4,Laptop & Accessory,3,Divorced,2,0,17.0,0.0,1.0,9.0,195,0.595,4.0,0,0,0,0.14285714285714285,195.0,0,0,2.5999999999999996,1,0,4,1,2,0,1_2,8,2
50065,0,24.0,Mobile Phone,1,9.0,Credit Card,Female,3.0,3,Grocery,4,Single,4,0,18.0,0.0,2.0,0.0,237,1.237,5.4,0,0,0,0.08333333333333333,118.5,0,0,3.2,1,1,3,0,1,2,0_1,1,0
50066,0,25.0,Mobile Phone,1,6.0,Debit Card,Male,3.0,4,Others,3,Divorced,1,0,15.0,1.0,11.0,9.0,300,3.8999999999999995,7.4,0,0,0,0.44,27.272727272727273,1,1,2.5999999999999996,1,1,4,1,5,0,1_5,11,3
50067,0,9.0,Phone,1,15.0,CC,Female,2.0,3,Mobile,4,Single,2,0,16.0,1.0,1.0,3.0,123,0.623,4.4,1,0,0,0.1111111111111111,123.0,0,0,3.2,1,2,0,0,3,2,0_3,3,2
50068,1,0.0,Mobile Phone,1,29.0,Debit Card,Male,2.0,4,Laptop & Accessory,3,Divorced,4,1,13.0,1.0,1.0,1.0,159,0.5589999999999999,4.800000000000001,0,0,0,0.0,159.0,0,0,1.7999999999999998,0,1,4,1,2,0,1_2,8,2
50069,0,9.0,Computer,1,13.0,CC,Male,2.0,2,Mobile,2,Married,5,0,14.0,0.0,2.0,2.0,121,0.721,4.6,1,0,1,0.2222222222222222,60.5,0,0,2.0,1,0,0,1,3,1,1_3,9,2
50070,0,18.0,Computer,1,8.0,Credit Card,Male,3.0,4,Grocery,2,Divorced,10,0,23.0,1.0,11.0,8.0,268,3.7679999999999993,7.5,0,0,1,0.6111111111111112,24.363636363636363,1,1,2.0,1,0,3,1,1,0,1_1,7,3
50071,0,10.0,Phone,1,27.0,Debit Card,Male,3.0,2,Mobile Phone,5,Divorced,2,1,12.0,0.0,1.0,7.0,136,0.936,4.200000000000001,1,0,0,0.1,136.0,0,0,3.0,0,2,4,1,4,0,1_4,10,2
50072,0,8.0,Computer,1,8.0,Credit Card,Female,2.0,3,Laptop & Accessory,4,Single,6,0,11.0,1.0,1.0,2.0,144,0.6440000000000001,4.5,0,0,0,0.125,144.0,0,0,3.2,1,0,3,0,2,2,0_2,2,2
50073,0,15.0,Computer,1,27.0,Credit Card,Female,2.0,3,Laptop & Accessory,3,Married,3,0,16.0,0.0,1.0,2.0,153,0.5529999999999999,4.5,0,0,0,0.06666666666666667,153.0,0,0,2.5999999999999996,0,0,3,0,2,1,0_2,2,2
50074,0,11.0,Mobile Phone,1,8.0,Debit Card,Male,2.0,3,Laptop & Accessory,3,Divorced,10,0,14.0,0.0,1.0,0.0,166,0.566,4.7,0,0,0,0.09090909090909091,166.0,0,0,2.5999999999999996,1,1,4,1,2,0,1_2,8,2
50075,0,11.0,Mobile Phone,1,35.0,COD,Male,2.0,3,Laptop & Accessory,2,Divorced,4,0,18.0,0.0,1.0,7.0,163,0.46299999999999997,4.0,0,1,1,0.09090909090909091,163.0,0,0,2.0,0,1,1,1,2,0,1_2,8,2
50076,0,0.0,Computer,1,6.0,COD,Male,2.0,4,Laptop & Accessory,5,Divorced,6,0,19.0,0.0,2.0,0.0,143,1.043,5.2,0,1,0,0.0,71.5,0,0,3.8,1,0,1,1,2,0,1_2,8,2
50077,0,22.0,Computer,1,24.0,Debit Card,Male,3.0,3,Laptop & Accessory,2,Married,2,1,15.0,0.0,1.0,7.0,168,0.668,4.4,0,0,1,0.045454545454545456,168.0,0,0,1.2,0,0,4,1,2,1,1_2,8,4
50078,0,7.0,Computer,1,16.0,Credit Card,Male,2.0,3,Mobile Phone,3,Married,2,1,17.0,2.0,2.0,0.0,138,0.8379999999999999,5.0,1,0,0,0.2857142857142857,69.0,0,0,1.7999999999999998,0,0,3,1,4,1,1_4,10,2
50079,0,13.0,Phone,1,25.0,CC,Male,3.0,3,Laptop & Accessory,2,Divorced,9,1,15.0,1.0,3.0,7.0,127,1.2269999999999999,5.0,0,0,1,0.23076923076923078,42.333333333333336,0,0,1.2,0,2,0,1,2,0,1_2,8,4
50080,1,1.0,Mobile Phone,1,35.0,Credit Card,Male,3.0,3,Laptop & Accessory,5,Divorced,8,1,19.0,0.0,1.0,0.0,167,0.9670000000000002,5.1000000000000005,0,0,0,1.0,167.0,0,0,3.0,0,1,3,1,2,0,1_2,8,2
50081,1,0.0,Mobile Phone,3,33.0,E wallet,Female,2.0,3,Fashion,2,Divorced,2,0,22.0,1.0,1.0,9.0,176,0.476,3.8000000000000003,0,0,1,0.0,176.0,0,0,2.0,0,1,5,0,0,0,0_0,0,2
50082,0,0.0,Phone,1,14.0,Debit Card,Male,2.0,2,Mobile,4,Married,2,1,16.0,0.0,2.0,2.0,123,0.923,4.6,1,0,0,0.0,61.5,0,0,2.4,1,2,4,1,3,1,1_3,9,2
50083,0,9.0,Computer,1,24.0,CC,Female,3.0,3,Mobile,2,Single,2,0,13.0,1.0,1.0,7.0,122,0.622,4.4,1,0,1,0.1111111111111111,122.0,0,0,2.0,0,0,0,0,3,2,0_3,3,2
50084,0,13.0,Computer,1,15.0,Debit Card,Male,3.0,4,Laptop & Accessory,2,Divorced,10,0,14.0,1.0,1.0,2.0,149,0.6489999999999999,5.1000000000000005,0,0,1,0.07692307692307693,149.0,0,0,2.0,1,0,4,1,2,0,1_2,8,4
50085,0,19.0,Mobile Phone,1,6.0,Credit Card,Male,3.0,3,Fashion,5,Married,8,0,16.0,0.0,1.0,3.0,194,0.9940000000000001,4.800000000000001,0,0,0,0.05263157894736842,194.0,0,0,3.8,1,1,3,1,0,1,1_0,6,0
50086,1,0.0,Mobile Phone,3,10.0,Credit Card,Male,2.0,5,Fashion,2,Divorced,2,0,11.0,7.0,9.0,8.0,204,2.904,6.7,0,0,1,0.0,22.666666666666668,0,1,2.0,1,1,3,1,0,0,1_0,6,3
50087,0,3.0,Computer,1,6.0,Debit Card,Male,2.0,4,Fashion,3,Single,2,0,22.0,2.0,5.0,8.0,185,1.785,5.3,0,0,0,1.6666666666666667,37.0,0,1,2.5999999999999996,1,0,4,1,0,2,1_0,6,1
50088,0,0.0,Computer,3,26.0,Debit Card,Female,2.0,3,Laptop & Accessory,3,Single,2,0,14.0,1.0,1.0,7.0,200,0.6,4.0,0,0,0,0.0,200.0,0,0,2.5999999999999996,0,0,4,0,2,2,0_2,2,2
50089,0,24.0,Mobile Phone,1,14.0,Debit Card,Male,2.0,4,Fashion,4,Divorced,6,0,16.0,1.0,4.0,3.0,225,1.6250000000000002,5.5,0,0,0,0.16666666666666666,56.25,0,1,3.2,1,1,4,1,0,0,1_0,6,0
50090,1,0.0,Phone,1,14.0,COD,Female,2.0,3,Mobile,5,Single,6,1,11.0,1.0,1.0,4.0,127,0.727,4.300000000000001,1,1,0,0.0,127.0,0,0,3.0,1,2,1,0,3,2,0_3,3,2
50091,0,14.0,Mobile Phone,3,12.0,Debit Card,Female,3.0,3,Fashion,2,Single,4,1,18.0,0.0,2.0,0.0,236,1.036,5.4,0,0,1,0.14285714285714285,118.0,0,0,1.2,1,1,4,0,0,2,0_0,0,4
50092,1,0.0,Computer,3,32.0,E wallet,Female,2.0,4,Laptop & Accessory,5,Single,6,0,15.0,0.0,1.0,1.0,167,0.767,4.800000000000001,0,0,0,0.0,167.0,0,0,3.8,0,0,5,0,2,2,0_2,2,2
50093,1,9.0,Phone,1,6.0,Cash on Delivery,Male,2.0,3,Mobile,3,Single,1,0,14.0,0.0,1.0,5.0,121,0.5209999999999999,4.2,1,1,0,0.1111111111111111,121.0,0,0,2.5999999999999996,1,2,2,1,3,2,1_3,9,2
50094,0,18.0,Computer,3,12.0,Credit Card,Female,2.0,4,Fashion,2,Single,7,0,12.0,12.0,12.0,8.0,189,3.789,7.3999999999999995,0,0,1,0.6666666666666666,15.75,1,1,2.0,1,0,3,0,0,2,0_0,0,3
50095,0,27.0,Mobile Phone,3,9.0,E wallet,Female,2.0,3,Laptop & Accessory,5,Divorced,3,0,14.0,1.0,1.0,5.0,159,0.759,4.2,0,0,0,0.037037037037037035,159.0,0,0,3.8,1,1,5,0,2,0,0_2,2,2
50096,0,9.0,Mobile Phone,1,11.0,Debit Card,Male,3.0,3,Laptop & Accessory,4,Single,9,0,16.0,0.0,3.0,7.0,159,1.459,5.0,0,0,0,0.3333333333333333,53.0,0,0,3.2,1,1,4,1,2,2,1_2,8,1
50097,0,6.0,Phone,1,14.0,CC,Female,2.0,4,Mobile,4,Divorced,7,0,21.0,0.0,1.0,1.0,126,0.6260000000000001,4.800000000000001,1,0,0,0.16666666666666666,126.0,0,0,3.2,1,2,0,0,3,0,0_3,3,2
50098,0,10.0,Computer,1,17.0,UPI,Male,2.0,3,Fashion,2,Married,2,1,14.0,0.0,1.0,3.0,222,0.522,4.4,0,0,1,0.1,222.0,0,0,1.2,0,0,6,1,0,1,1_0,6,2
50099,0,11.0,Mobile Phone,3,9.0,Debit Card,Male,3.0,3,Fashion,3,Married,1,0,12.0,1.0,5.0,13.0,206,2.0060000000000002,5.0,0,0,0,0.45454545454545453,41.2,0,1,2.5999999999999996,1,1,4,1,0,1,1_0,6,1
50100,0,4.0,Computer,1,6.0,Credit Card,Male,2.0,5,Laptop & Accessory,3,Divorced,1,0,12.0,1.0,1.0,4.0,143,0.5429999999999999,4.7,0,0,0,0.25,143.0,0,0,2.5999999999999996,1,0,3,1,2,0,1_2,8,2
50101,0,9.0,Phone,1,9.0,Debit Card,Male,3.0,4,Mobile,2,Divorced,4,0,17.0,0.0,1.0,0.0,122,0.622,5.300000000000001,1,0,1,0.1111111111111111,122.0,0,0,2.0,1,2,4,1,3,0,1_3,9,4
50102,0,10.0,Computer,3,10.0,E wallet,Male,2.0,3,Mobile Phone,2,Married,5,0,17.0,1.0,5.0,8.0,0,1.5,5.1,1,0,1,0.5,0.0,0,1,2.0,1,0,5,1,4,1,1_4,10,4
